BusinessAddress,BusinessName,BusinessPhone,BusinessStartDate,BusinessType,BusinessLicenseNumber,City,OwnerName,State,StreetDirection,StreetName,StreetNumber,StreetSuffix,Suite,Zip,LocationX,LocationY,Latitude,Longitude,Location
813 SAINT MAURICE AVE,C & J SECURITY SYSTEMS,504-908-4330,2002-12-01,Security Systems Services(except Locksmiths),102182421,NEW ORLEANS,"C & J SECURITY SYSTEMS, LLC",LA,,SAINT MAURICE,813,AVE,,70117-1555,3699481.4,532164.53,29.956709704009427,-90.01126840848642,POINT (-90.01126840848642 29.956709704009427)
4612 S CLAIBORNE AVE,WOMAN'S NEW LIFE CLINIC,504-496-0212,2017-11-21,Offices of Physicians(except Mental Health Specialists),105028539,NEW ORLEANS,"MORNING STAR RISING, INC",LA,S,CLAIBORNE,4612,AVE,,70125-5010,3669468.86,525650.95,29.939717520404084,-90.1062589033132,POINT (-90.1062589033132 29.939717520404084)
6223 S CLAIBORNE AVE,YOUNG'S DRY CLEANERS,504-288-8381,1996-04-15,Drycleaning & Laundry Services(except Coin-Operated),101967603,NEW ORLEANS,VELEZ CORPORATION (THE),LA,S,CLAIBORNE,6223,AVE,,70125-4105,3667265.65,528033.25,29.946332768706206,-90.11313467856128,POINT (-90.11313467856128 29.946332768706206)
1200 N PETERS ST,,504-566-7247,1990-09-01,Flea Market,101464121,NEW ORLEANS,BHAGCHANDANI HIRALAL J,LA,N,PETERS,1200,ST,,70116-2631,3684590.01,533137.39,29.959848769517027,-90.05825636718689,POINT (-90.05825636718689 29.959848769517027)
4935 HICKERSON ST,DOUBLE SERENITY,504-913-3534,2025-02-01,Special Events-Other (Vendor),106065094,NEW ORLEANS,DOUBLE SERENITY LLC,LA,,HICKERSON,4935,ST,,70127-3429,3710251.04,556963.33,30.02455096243333,-89.97633431556999,POINT (-89.97633431556999 30.02455096243333)
4935 HICKERSON ST,,504-913-3534,2020-01-01,"Hobby, Toy & Game Stores",105049583,NEW ORLEANS,DOUBLE SERENITY LLC,LA,,HICKERSON,4935,ST,,70127-3429,3710251.04,556963.33,30.02455096243333,-89.97633431556999,POINT (-89.97633431556999 30.02455096243333)
4165 VINCENNES PL,,504-427-6047,2017-06-07,Single Family Housing Construction,105024536,NEW ORLEANS,RONALD RICHBURG SR.,LA,,VINCENNES,4165,PL,,70125-2742,3668702.01,530975.45,29.95438072153319,-90.10850027339124,POINT (-90.10850027339124 29.95438072153319)
6332 ELYSIAN FIELDS AVE,BURGER KING REST #375,504-949-5100,1989-04-01,Limited Service Restaurants(no table service available),101372529,NEW ORLEANS,BROOKS RESTAURANTS INC,LA,,ELYSIAN FIELDS,6332,AVE,,70122-4236,3683228.87,556367.63,30.023765256978123,-90.06174047424707,POINT (-90.06174047424707 30.023765256978123)
643 MAGAZINE ST,AUBREY HARRIS & ASSOCIATES,(504) 858-1258,2015-03-24,Offices of Lawyers,105003368,NEW ORLEANS,THE AUBREY HARRIS LAW FIRM LLC,LA,,MAGAZINE,643,ST,200,70130-3436,3681282.14,528427.91,29.94700009115947,-90.06886598978812,POINT (-90.06886598978812 29.94700009115947)
2714 CANAL ST,BROTHERHOOD,504-566-7995,1998-10-01,Office Administration Services,102479271,NEW ORLEANS,BROTHERHOOD INC,LA,,CANAL,2714,ST,503,70119-5576,3675148.14,535148.34,29.965663728516642,-90.08800271473356,POINT (-90.08800271473356 29.965663728516642)
2026 SAINT CLAUDE AVE,HOLY GHOST TATTOO,(504) 485-3782,2024-08-13,"Personal Services, Other",106108494,NEW ORLEANS,HOLY GHOST TATTOO,LA,,SAINT CLAUDE,2026,AVE,,70116-1544,3684466.56,536191.27,29.96824966300814,-90.05853890667,POINT (-90.05853890667 29.96824966300814)
6319 BRUNSWICK CT,KREWE KONOISSEUR-SPECIAL EVENT,504-830-8102,2023-03-10,Special Events-Other (Vendor),105064223,NEW ORLEANS,ASHLEY MYLES-SPECIAL EVENT,LA,,BRUNSWICK,6319,CT,,70131-5527,3707390.5,516982.79,29.914712004646564,-89.98685756339016,POINT (-89.98685756339016 29.914712004646564)
2882 ALLEN ST,,504-533-5227,2012-05-14,Highway and Street Construction,102892658,NEW ORLEANS,J STAR ENTERPRISES INC,LA,,ALLEN,2882,ST,,70119-1147,3682135.79,543020.0,29.987097386612454,-90.06566098930222,POINT (-90.06566098930222 29.987097386612454)
2077 CATON ST,DIALYSIS CLINIC INC,504-242-3770,1999-10-01,Medical Laboratories,102220048,NEW ORLEANS,"DIALYSIS CLINIC,INC   (NON PRO",LA,,CATON,2077,ST,,70122-3146,3683175.59,547543.69,29.99950425383385,-90.06221813043729,POINT (-90.06221813043729 29.99950425383385)
6117 SAINT CLAUDE AVE,LIGHT CITY ACADEMY,504-301-4593,2011-04-15,Elementary & Secondary Schools,102833252,NEW ORLEANS,LIGHT CITY COMMUNITY DER,LA,,SAINT CLAUDE,6117,AVE,,70117-1341,3699693.68,533357.2,29.959982385846065,-90.0105546247273,POINT (-90.0105546247273 29.959982385846065)
1240 RIVIERA AVE,I CUT & ASSOCIATES,504-270-3791,2018-01-23,Landscaping Services,105029659,NEW ORLEANS,"I CUT & ASSOCIATES,LLC",LA,,RIVIERA,1240,AVE,,70122-1934,3677067.63,550759.24,30.00853076957498,-90.0814024046067,POINT (-90.0814024046067 30.00853076957498)
2809 DANNEEL ST,WHEN IT RAINS IT POURS ROOFING,504-813-1955,2018-05-03,Home Based-Office Use Only,105032282,NEW ORLEANS,WHEN IT RAINS IT POURS,LA,,DANNEEL,2809,ST,,70115-5107,3675015.29,523693.82,29.934171566383228,-90.08881513149313,POINT (-90.08881513149313 29.934171566383228)
600 S PETERS ST,ERNEST CAFE,504-915-5953,2019-01-01,Full Service Restaurants(table service available),105038469,NEW ORLEANS,"600 SOUTH PETERS STREET, LLC",LA,S,PETERS,600,ST,,70130-1631,3682267.26,528487.59,29.947134262486305,-90.06575351873136,POINT (-90.06575351873136 29.947134262486305)
540 CHARTRES ST,CHARTRES HOUSE,504-915-5953,2019-01-01,Full Service Restaurants(table service available),105039833,NEW ORLEANS,"540 CHARTRES, LLC",LA,,CHARTRES,540,ST,,70130-2110,3682596.48,531892.98,29.956487913611976,-90.06459499556695,POINT (-90.06459499556695 29.956487913611976)
2301 MARAIS ST,CHURCH OF THE ARTS AND SCIENCES,504-220-6481,2024-01-01,Religious Organizations,105071457,NEW ORLEANS,"ANNUNCIATION, LLC",LA,,MARAIS,2301,ST,,70117-8350,3685820.79,536793.94,29.96986529897847,-90.05424095215731,POINT (-90.05424095215731 29.96986529897847)
38356 PIERCE RD,LUCKY'S MOBILE EXPRESS,225-937-7433,2023-01-01,Mobile Food Services,105064002,GONZALES,MARK ANTHONY'S CATERING LLC,LA,,PIERCE,38356,RD,,70737-8019,0.0,0.0,0,0,POINT (0 0)
2613 ROYAL ST,,312-342-3177,2022-08-22,Short Term Rentals/Residential Properties,105061319,NEW ORLEANS,ROYAL RESIDENCE,LA,,ROYAL,2613,ST,,70117-7355,3686880.07,534969.34,29.964815728071457,-90.05096014206376,POINT (-90.05096014206376 29.964815728071457)
701 DECATUR ST,PAINTINGS BY GIVIAN,504-300-3265,2009-02-25,Artist-Painting on Streets,102725158,NEW ORLEANS,KAMAL GIVIAN,LA,,DECATUR,701,ST,,70116-0000,3683203.66,532198.88,29.95731053424882,-90.06266701146087,POINT (-90.06266701146087 29.95731053424882)
14399 CHEF MENTEUR HWY,WALTZER AND ASSOCIATES LAW FIRM,504-525-1586,1997-11-04,Offices of Lawyers,102086813,NEW ORLEANS,WALTZER AND ASSOCIATES,LA,,CHEF MENTEUR,14399,HWY,D,70129-2042,3730555.62,561592.87,30.036603467756077,-89.91199497153774,POINT (-89.91199497153774 30.036603467756077)
909 POYDRAS ST,"STANLEY,REUTER,ROSS,THORNTON & ALFORD",504-523-1580,1997-10-21,Offices of Lawyers,102087640,NEW ORLEANS,STANLEY & FLANAGAN LLC,LA,,POYDRAS,909,ST,2500,70112-4011,3679759.69,529701.3,29.9505475953772,-90.0736287276655,POINT (-90.0736287276655 29.9505475953772)
6000 ERIN DR,,504-510-0378,2021-01-01,"Transit & Ground Passenger Transportation, All Other",105068490,NEW ORLEANS,SHINING STAR TRANSPORTATION LL,LA,,ERIN,6000,DR,,70126-7501,3695314.07,558317.02,30.02875103429937,-90.02348341727036,POINT (-90.02348341727036 30.02875103429937)
5601 TCHOUPITOULAS ST,SOPHIA'S NAIL,504-450-2076,2022-01-01,Nail Salons,105057421,NEW ORLEANS,DUY NGUYEN,LA,,TCHOUPITOULAS,5601,ST,,70115-2023,3665709.22,517175.61,29.916523184846422,-90.11841237447165,POINT (-90.11841237447165 29.916523184846422)
1433 N CLAIBORNE AVE,,504-615-4282,2021-01-01,Commercial and Institutional Building Construction,105053992,NEW ORLEANS,"CAG, LLC",LA,N,CLAIBORNE,1433,AVE,,70116-1810,3681338.97,536901.21,29.970297059196902,-90.06839121491821,POINT (-90.06839121491821 29.970297059196902)
3301 CHIPPEWA ST,,504-322-1220,2016-05-05,Architectural Services,105014085,NEW ORLEANS,"ADAMICK ARCHITECTURE,LLC",LA,,CHIPPEWA,3301,ST,,70115-1226,3675982.26,518353.39,29.919458199736916,-90.08594597459773,POINT (-90.08594597459773 29.919458199736916)
12315 WILLOW DR,H B MAINTENANCE ELECTRIAL     SERVICES,504-421-2992,1988-01-07,Electrical Contractors,109019186,NEW ORLEANS,"BROUSSARD SR,  HERBERT L",LA,,WILLOW,12315,DR,,70131-3174,3728513.88,510550.39,29.896325814544987,-89.92043617991607,POINT (-89.92043617991607 29.896325814544987)
7701 DWYER RD,,504-205-3584,2018-03-29,"Miscellaneous Store Retailers(except Tobacco), All Other",105032495,NEW ORLEANS,T&P MUNCHIES,LA,,DWYER,7701,RD,108,70126-4397,3703024.11,556078.5,30.02235137411955,-89.99920254373541,POINT (-89.99920254373541 30.02235137411955)
3058 BEHRMAN HWY,DEME'S DELICIOUS DIPS,504-723-4590,2014-01-10,Home Based-Office Use Only,102983726,NEW ORLEANS,"BANKS, DEMERIAL",LA,,BEHRMAN,3058,HWY,,70114-7906,3694391.35,519370.34,29.92169058473844,-90.02780137704573,POINT (-90.02780137704573 29.92169058473844)
334 ROYAL ST,CAFE BEIGNET ROYAL,504-522-3981,1990-09-01,Snack & Nonalcoholic Beverage Bars,101459357,NEW ORLEANS,COFFEE & CONCIERGE LTD,LA,,ROYAL,334,ST,B,70130-2281,3681860.51,531492.45,29.955408978778063,-90.06693292316035,POINT (-90.06693292316035 29.955408978778063)
5243 TCHOUPITOULAS STREET,,504 258 0660,2016-11-21,Beauty Salons,105019781,NEW ORLEANS,DONNA MONTAGUE LLC,LA,,TCHOUPITOULAS,5243,STREET,,70115,3667601.63,517221.9,29.9165951598807,-90.11243758036223,POINT (-90.11243758036223 29.9165951598807)
1130 ORETHA CASTLE HALEY BLVD,NEW ORLEANS MISSION,504-523-2116,2009-12-30,Temporary Shelters,102767811,NEW ORLEANS,NEW ORLEANS MISSION INC,LA,,ORETHA CASTLE HALEY,1130,BLVD,,70113-1216,3678643.79,527122.0,29.943489065952924,-90.077241441087,POINT (-90.077241441087 29.943489065952924)
4333 EUPHROSINE ST,LIVERY PASSENGER TRANSPORTATION,504-561-8777,2010-07-19,"Transit & Ground Passenger Transportation, All Other",102793048,NEW ORLEANS,LIVERY PASSENGER TRANSPORTATIO,LA,,EUPHROSINE,4333,ST,,70125-1316,3671388.99,532569.76,29.958685296249712,-90.09996164539258,POINT (-90.09996164539258 29.958685296249712)
4545 MAGNOLIA ST,ALDER HOTEL UPTOWN,504 826 1150,2017-01-01,Hotels(except Casino Hotels) & Motels,105025999,NEW ORLEANS,"ALDER HOTEL PARTNERS, LLC",LA,,MAGNOLIA,4545,ST,,70115-6911,3669788.35,524763.25,29.937267220563278,-90.1052802623672,POINT (-90.1052802623672 29.937267220563278)
7037 CANAL BLVD,,,1971-06-01,Offices of Dentists,109510505,NEW ORLEANS,EDWARD E LEVY D D S,LA,,CANAL,7037,BLVD,206,70124-3470,3669356.64,554381.7,30.018720658132146,-90.10564133222546,POINT (-90.10564133222546 30.018720658132146)
6215 S MIRO ST,FELIPE'S TAQUERIA,504-866-1852,2006-11-06,Full Service Restaurants(table service available),102604962,NEW ORLEANS,FELIPE'S LOUISIANA LLC,LA,S,MIRO,6215,ST,,70125-4109,3667336.54,528186.52,29.946752135614908,-90.11290569894489,POINT (-90.11290569894489 29.946752135614908)
856 ROOSEVELT PL,,203-240-0077,2021-01-01,Pet & Pet Supplies Stores,105053623,NEW ORLEANS,WOOF DAT JERKY,LA,,ROOSEVELT,856,PL,A,70119-3824,3673619.84,540038.73,29.979156225654044,-90.0926618174829,POINT (-90.0926618174829 29.979156225654044)
3210 SAINT PETER ST,,504-905-4999,2021-01-01,"Miscellaneous Store Retailers(except Tobacco), All Other",105053014,NEW ORLEANS,SOUL OF NOLA,LA,,SAINT PETER,3210,ST,,70119-3923,3674791.66,538200.18,29.974065901854814,-90.0890238082356,POINT (-90.0890238082356 29.974065901854814)
535 GRAVIER ST,HOTEL THEO,,2018-05-11,Hotels(except Casino Hotels) & Motels,105032389,NEW ORLEANS,"GRAVIER HOLDINGS, LLC",LA,,GRAVIER,535,ST,,70130-2701,3681380.4,529871.61,29.950966798447705,-90.0685054302845,POINT (-90.0685054302845 29.950966798447705)
2728 CONTI ST,,504-638-2796,2019-01-01,Taxi Service,105041607,NEW ORLEANS,CALISTHINE LAJEUNE,LA,,CONTI,2728,ST,,70119-5514,3675780.28,536188.72,29.96850551496591,-90.08597067302424,POINT (-90.08597067302424 29.96850551496591)
3520 GENERAL DEGAULLE DR,,504-227-3057,2018-04-05,Elementary & Secondary Schools,105031537,NEW ORLEANS,INSPIRE NOLA CHARTER SCHOOLS,LA,,GENERAL DEGAULLE,3520,DR,4040,70114-6776,0.0,0.0,0,0,POINT (0 0)
1200 N PETERS ST,ADAM CLARK,,2015-01-15,Clothing Accessories Stores,105002442,NEW ORLEANS,NAME BRACELETS LLC,LA,N,PETERS,1200,ST,,70116-2631,3684590.01,533137.39,29.959848769517027,-90.05825636718689,POINT (-90.05825636718689 29.959848769517027)
3401 N CLAIBORNE AVE,WE GOT IT,,2014-02-20,Convenience Stores,102991176,NEW ORLEANS,"WE GOT IT, LLC",LA,N,CLAIBORNE,3401,AVE,,70117-6005,3690717.86,537586.34,29.971892899170548,-90.03874732305128,POINT (-90.03874732305128 29.971892899170548)
1623 BASIN ST,Q LEE LAUNDRY AND CLEANERS,504-523-8615,1986-03-01,Drycleaning & Laundry Services(except Coin-Operated),101265773,NEW ORLEANS,Q LEE LAUNDRY INC,LA,,BASIN,1623,ST,,70116-2903,3680038.53,534640.97,29.964121583435826,-90.07257668386966,POINT (-90.07257668386966 29.964121583435826)
2207 MAGAZINE ST,STEIN'S MARKET AND DELI,504-527-0771,2007-01-09,"Miscellaneous Store Retailers(except Tobacco), All Other",102613732,NEW ORLEANS,AU LAIT CRU LLC,LA,,MAGAZINE,2207,ST,,70130-5636,3678741.07,522047.12,29.929531886347384,-90.077109965201,POINT (-90.077109965201 29.929531886347384)
1126 ROYAL ST,HERMANN/GRIMA GALLIER HOUSE,504-525-5661,2004-06-01,Museums,102486854,NEW ORLEANS,THE WOMANS EXCHANGE,LA,,ROYAL,1126,ST,,70116-2706,3683591.61,533782.05,29.96165187463097,-90.06138649085491,POINT (-90.06138649085491 29.96165187463097)
2545 BANKS ST,,504-434-0843,2017-10-05,Graphic Design Services,105027388,NEW ORLEANS,NOLA SIGN SHOP,LA,,BANKS,2545,ST,,70119-7406,3675164.33,533805.08,29.961969732415287,-90.08799769029203,POINT (-90.08799769029203 29.961969732415287)
540 BROAD AVE C,,504-822-8035,2012-01-04,"Management Consulting Services, Other",102868684,NEW ORLEANS,B-3 CONSULTING LLC,LA,,BROAD,540,AVE,,70119,0.0,0.0,0,0,POINT (0 0)
2 POYDRAS ST,"INT'L RIVERCENTER LESSEE,LLC",(504) 561-0500,1968-12-02,Full Service Restaurants(table service available),100856638,NEW ORLEANS,INTERNATIONAL RIVERCENTER LESS,LA,,POYDRAS,2,ST,,70130-1656,3683045.57,528712.81,29.947729843919305,-90.06328822293939,POINT (-90.06328822293939 29.947729843919305)
729 N CARROLLTON AVE,,504 483 0955,2017-06-16,Offices of Dentists,105024804,NEW ORLEANS,DR LEON ALBERT FLETTRICH IV,LA,N,CARROLLTON,729,AVE,,70119-4708,3672535.29,540014.53,29.979121928768112,-90.09608808013684,POINT (-90.09608808013684 29.979121928768112)
8100 SAINT CHARLES AVE,N. O. DAIQUIRIS,,2022-04-01,Special Events-Other (Vendor),105059524,NEW ORLEANS,"190 OCTANE RETAIL, LLC-SPECIAL",LA,,SAINT CHARLES,8100,AVE,,70118-1046,3660489.77,526782.16,29.943089334671765,-90.13456994759632,POINT (-90.13456994759632 29.943089334671765)
717 S CLAIBORNE AVE,ONEBUNCHHOOKUPCOMPANY,504-309-1973,2018-07-17,Special Needs Transportation,105034077,NEW ORLEANS,"ONEBUNCHHOOKUPCOMPANY, LLC",LA,S,CLAIBORNE,717,AVE,,70113-3115,3676378.84,530342.46,29.95241233848846,-90.08428164627861,POINT (-90.08428164627861 29.95241233848846)
1215 PRYTANIA ST,NEW ORLEANS INTEGRATED TECHNOLOGIES LLC,504-619-4150,2006-06-16,Home Based-Office Use Only,102583302,NEW ORLEANS,GEORGE SCHIAFFINO,LA,,PRYTANIA,1215,ST,431,70130-4494,3680047.38,525980.54,29.940308048587518,-90.07284958817871,POINT (-90.07284958817871 29.940308048587518)
830 UNION ST,CLUE CARRE,504-813-0610,2015-01-13,"Miscellaneous Store Retailers(except Tobacco), All Other",105001333,NEW ORLEANS,"CLUE CARRE, LLC",LA,,UNION,830,ST,101,70112-1409,3680196.45,530082.43,29.951582364643436,-90.07223642106673,POINT (-90.07223642106673 29.951582364643436)
5129 KAREN DR,,504-866-9521,2020-01-01,Electrical Contractors,105045793,MARRERO,MAHONEY REFRIGERATION HEATING,LA,,KAREN,5129,DR,,70072-4229,0.0,0.0,0,0,POINT (0 0)
1200 N PETERS ST,GUILLAUME STUDIOS,225-751-9996,2006-03-21,Flea Market,102565193,NEW ORLEANS,JONATHAN GUILLAUME,LA,N,PETERS,1200,ST,,70116-2631,3684590.01,533137.39,29.959848769517027,-90.05825636718689,POINT (-90.05825636718689 29.959848769517027)
907 SOLOMON PL,RIVERVIEW PHOTOGRAPHY,504-486-2079,1998-04-30,Commercial Photography,102115961,NEW ORLEANS,REINEKE LINDA,LA,,SOLOMON,907,PL,,70119-3625,3672435.93,541167.83,29.98229605952702,-90.09636257547186,POINT (-90.09636257547186 29.98229605952702)
2001 BODENGER BLVD,WALTERS & WALTERS,504-812-4004,1994-01-01,"Consumer Goods Rental, All Other",101722252,NEW ORLEANS,"WALTERS, HERMAN         WALTER",LA,,BODENGER,2001,BLVD,,70114-6013,3688368.79,524559.52,29.93614639725433,-90.04662802268743,POINT (-90.04662802268743 29.93614639725433)
5401 S CLAIBORNE AVE,THE LOVE CENTER DAYCARE 2 LLC,504-943-1221,2010-09-13,Child Day Care Services,102799224,NEW ORLEANS,SHIRLEY HONORE LOVE CENTER,LA,S,CLAIBORNE,5401,AVE,,70125-4997,3668320.44,526558.56,29.942246921467856,-90.10985404254357,POINT (-90.10985404254357 29.942246921467856)
4901 CHEF MENTEUR HWY A,,,2018-01-05,Administrative Management & General Management Consulting Services,105029252,NEW ORLEANS,PATRICK PLACE EAST LLC,LA,,CHEF MENTEUR,4901,HWY,,70126,3692422.73,550550.68,30.007487067762177,-90.0328984211083,POINT (-90.0328984211083 30.007487067762177)
2800 S ROCHEBLAVE ST,,,2011-03-12,Video Draw Poker Devices,102827571,NEW ORLEANS,"LUCKY COIN MACHINE CO,LLC",LA,S,ROCHEBLAVE,2800,ST,,70125-3030,3671659.0,528874.0,29.948515182403245,-90.09923471346126,POINT (-90.09923471346126 29.948515182403245)
923 GOVERNOR NICHOLLS ST,,504-460-7303,2023-01-01,Flight Training,105065469,NEW ORLEANS,"LEARN TO FLY NOLA, LLC",LA,,GOVERNOR NICHOLLS,923,ST,,70116-2430,3682949.75,534493.12,29.96362664891555,-90.06338848991243,POINT (-90.06338848991243 29.96362664891555)
9511 CHEF MENTEUR HWY,EMPIRE NOLA TRANSPORTATION,504-427-8901,2021-01-01,Special Needs Transportation,105055344,NEW ORLEANS,"EMPIRE NOLA TRANSPORTATION, LL",LA,,CHEF MENTEUR,9511,HWY,109,70127-4266,3710987.53,554453.15,30.017624947388335,-89.97410124670742,POINT (-89.97410124670742 30.017624947388335)
1301 PELICAN ST,PERSONAL & CONFIDENTIAL INC,504-368-5388,1988-11-01,General Warehousing & Storage,101436837,NEW ORLEANS,PERSONAL & CONFIDENTIAL,LA,,PELICAN,1301,ST,,70114-1329,3689654.26,530639.08,29.952823355174285,-90.04235352660602,POINT (-90.04235352660602 29.952823355174285)
701 DECATUR ST,ARTHEAD,918-961-0475,2010-02-04,Artist-Painting on Streets,102771958,NEW ORLEANS,VICTOR  R VALENZUELA,LA,,DECATUR,701,ST,,70116-0000,3683203.66,532198.88,29.95731053424882,-90.06266701146087,POINT (-90.06266701146087 29.95731053424882)
3827 BARONNE ST,MARTIN WINE CELLAR,504-897-0191,2014-10-06,Convenience Stores,103026580,NEW ORLEANS,"DAVID Y. MARTIN JR., LLC",LA,,BARONNE,3827,ST,,70115-5311,3672520.7,521833.18,29.929129671383084,-90.096753872867,POINT (-90.096753872867 29.929129671383084)
2339 ROYAL ST,ORANGE COUCH CAFE,504-267-7327,2012-08-20,Full Service Restaurants(table service available),102906403,NEW ORLEANS,"OC ENTERPRISES, LTD",LA,,ROYAL,2339,ST,,70117-8529,3685860.14,534956.48,29.96481171434342,-90.05418146134845,POINT (-90.05418146134845 29.96481171434342)
3962 MAGAZINE ST,,504-875-0309,2022-01-01,Environmental Consulting Services,105063691,NEW ORLEANS,GROUNDS KREWE NOLA INC,LA,,MAGAZINE,3962,ST,,70115-2664,3672595.64,518848.0,29.92091915893353,-90.09661901142378,POINT (-90.09661901142378 29.92091915893353)
1200 N PETERS ST,MEXICAN ART,504-296-4224,2011-02-01,Flea Market,102818881,NEW ORLEANS,ANGELICA BECERRIL-DELGADO,LA,N,PETERS,1200,ST,,70116-2631,3684590.01,533137.39,29.959848769517027,-90.05825636718689,POINT (-90.05825636718689 29.959848769517027)
2631 GENERAL DEGAULLE DR,WAFFLE HOUSE,504-227-2100,2014-07-23,Full Service Restaurants(table service available),103016886,NEW ORLEANS,WAFFLE HOUSE INC,LA,,GENERAL DEGAULLE,2631,DR,,70114-6220,3693174.38,521868.55,29.92859788861414,-90.03155322272997,POINT (-90.03155322272997 29.92859788861414)
4637 MAGAZINE ST,AT&T MOBILITY,561-627-3365,2019-01-01,"Radio, TV & Other Electronics Stores",105042406,NEW ORLEANS,"NEW CINGULAR WIRELESS PCS, LLC",LA,,MAGAZINE,4637,ST,,70115-1517,3670059.19,518754.53,29.920737177830905,-90.10462861883072,POINT (-90.10462861883072 29.920737177830905)
7400 LAKESHORE DR,FELIX'S RESTAURANT & OYSTER BAR,(504) 913-8807,2018-06-14,Full Service Restaurants(table service available),105033198,NEW ORLEANS,"FELIX'S LAKEFRONT, LLC.",LA,,LAKESHORE,7400,DR,,70124-2435,3666808.8,556202.37,30.023801670761536,-90.1136303884509,POINT (-90.1136303884509 30.023801670761536)
400 BELLEVILLE ST,MARJORIE POKORNY,,2021-01-01,Fitness & Recreational Sports Centers,105054068,NEW ORLEANS,TURTLE YOGA,LA,,BELLEVILLE,400,ST,D,70114-1115,3687912.49,530253.99,29.951818334106616,-90.04786688824726,POINT (-90.04786688824726 29.951818334106616)
2100 SAINT CHARLES AVE,BURKE'S,504-451-9696,2013-11-13,Beauty Salons,102971850,NEW ORLEANS,JAMES BURKE SAUCIE,LA,,SAINT CHARLES,2100,AVE,5,70130-7603,3677859.37,523772.74,29.93430332654849,-90.07983374032025,POINT (-90.07983374032025 29.93430332654849)
7 AUDUBON BLVD,LEKHA,504-400-2789,2017-11-03,Home Based-Office Use Only,105028084,NEW ORLEANS,"LEKHA, LLC",LA,,AUDUBON,7,BLVD,,70118-5537,3665354.44,526732.94,29.942813158437204,-90.11921256420587,POINT (-90.11921256420587 29.942813158437204)
3715 ALFRED ST,AMARIS CATERING AND EVENTS,(504) 452-7581,2017-05-17,Caterers,105024717,NEW ORLEANS,ERIN BRAZLEY,LA,,ALFRED,3715,ST,,70122-1405,3677832.64,545858.22,29.995031697996286,-90.07915497173718,POINT (-90.07915497173718 29.995031697996286)
2728 CONTI ST,,202-390-1180,2022-01-01,Limousine Service,105061753,NEW ORLEANS,EL HOUCEINE BAH,LA,,CONTI,2728,ST,,70119-5514,3675780.28,536188.72,29.96850551496591,-90.08597067302424,POINT (-90.08597067302424 29.96850551496591)
230 DECATUR ST,ATTIKI BAR & GRILL,504-338-6488,2005-06-01,Full Service Restaurants(table service available),102532619,NEW ORLEANS,"EZF, LLC",LA,,DECATUR,230,ST,,70130-1016,3682256.06,530750.39,29.95335653898099,-90.0657098428608,POINT (-90.0657098428608 29.95335653898099)
1634 EUTERPE ST,,504-339-1782,2019-01-01,Taxi Service,105043278,NEW ORLEANS,NASER M. GHANNAM,LA,,EUTERPE,1634,ST,,70130-4434,3678594.22,525161.49,29.938099806676345,-90.0774657885717,POINT (-90.0774657885717 29.938099806676345)
4206 HOWARD AVE,BEERMAN PRECISION MACH WKS,,1966-01-01,"Durable Goods Wholesalers, Other Miscellaneous",100632934,NEW ORLEANS,BEERMAN PRECISION MACH WKS INC,LA,,HOWARD,4206,AVE,,70125-1327,3672193.9,532803.73,29.95930478834048,-90.09741197388314,POINT (-90.09741197388314 29.95930478834048)
1836 VALENCE ST,,504-345-2639,2011-11-15,Landscape Architectural Services,102863101,NEW ORLEANS,"DANA BROWN & ASSOCIATES, INC",LA,,VALENCE,1836,ST,,70115-5554,3669548.88,521749.08,29.928986275145416,-90.10613820214522,POINT (-90.10613820214522 29.928986275145416)
4200 S CLAIBORNE AVE,WENDY'S #218,281-201-2700,2016-08-26,Limited Service Restaurants(no table service available),105018077,NEW ORLEANS,"HAZA FOODS OF LOUISIANA, LLC",LA,S,CLAIBORNE,4200,AVE,,70125-5102,3671032.14,525766.55,29.939989257841287,-90.10131947212602,POINT (-90.10131947212602 29.939989257841287)
5495 CROWDER BLVD,BEAUTY CONNECTION,504-241-0191,2017-06-27,"Cosmetics, Beauty Supplies & Perfume Stores",105025041,NEW ORLEANS,"K & S INTERNATIONAL,LLC",LA,,CROWDER,5495,BLVD,A,70127-2940,3705940.75,557586.75,30.026404777972537,-89.98993087435571,POINT (-89.98993087435571 30.026404777972537)
4075 INDUSTRIAL PKWY,DLT WAREHOUSE,504-407-9130,2016-01-26,General Freight Trucking,105011284,NEW ORLEANS,DLT WAREHOUSE LLC,LA,,INDUSTRIAL,4075,PKWY,,70129-2329,3736023.04,561288.38,30.0355786372762,-89.89472918489237,POINT (-89.89472918489237 30.0355786372762)
1634 EUTERPE ST,JOSEPH LAVIGNE # 355,,1990-01-01,Taxi Service,101499634,NEW ORLEANS,"LEVIGNE, JOSEPH",LA,,EUTERPE,1634,ST,,70130-4434,3678594.22,525161.49,29.938099806676345,-90.0774657885717,POINT (-90.0774657885717 29.938099806676345)
1949 ELIZARDI BLVD,FUSION DELIGHT,504-435-8051,2024-03-11,Special Events-Other (Vendor),105070371,NEW ORLEANS,JAMES COLTEN,LA,,ELIZARDI,1949,BLVD,,70114,3694641.61,523396.58,29.932753534077843,-90.02686651067181,POINT (-90.02686651067181 29.932753534077843)
